ID_Vehiculo,Modelo,Tipo_Vehiculo,Fecha_Viaje,Distancia_KM,Energia_Consumida_kWh,Peso_Carga_KG,Estado_Viaje,Origen,Destino
V101,Tesla Model 3,Sedan,2023-01-02,320.5,56.2,85,Completado,Monterrey,McAllen
V102,Ford Lightning,Camioneta,2023-01-03,210.0,98.5,880,Completado,CDMX,Queretaro
V103,Rivian R1S,SUV,2023-01-05,400.0,118.0,280,Completado,Guadalajara,Puerto Vallarta
V104,Nissan Leaf,Otro,2023-01-06,60.5,12.8,75,Completado,Queretaro,San Juan del Rio
V101,Tesla Model 3,Sedan,2023-01-08,0,0,80,Cancelado,Monterrey,Laredo
V105,Cybertruck,Camioneta,2023-01-10,500.0,210.0,1280,Completado,Tijuana,Phoenix
V106,BMW i4,Sedan,2023-01-12,250.0,46.5,90,Completado,San Luis Potosi,Zacatecas
V102,Ford Lightning,Camioneta,2023-01-15,100.0,48.0,580,Incidente,CDMX,Toluca
V107,Chevy Bolt,Otro,2023-01-16,80.0,15.2,95,Completado,Puebla,Tlaxcala
V103,Rivian R1S,SUV,2023-01-18,350.0,102.0,230,Completado,Guadalajara,Leon
V101,Tesla Model 3,Sedan,2023-01-20,310.0,54.8,110,Completado,Monterrey,Saltillo
V108,Kia EV6,SUV,2023-01-22,280.0,63.0,130,Completado,Merida,Cancun
V105,Cybertruck,Camioneta,2023-01-25,600.0,265.0,1590,Completado,Tijuana,Los Angeles
V104,Nissan Leaf,Otro,2023-01-26,0,0,75,Cancelado,Queretaro,Celaya
V109,Audi e-tron,SUV,2023-01-28,300.0,89.0,180,Completado,Leon,Aguascalientes
V101,Tesla Model 3,Sedan,2023-02-01,150.0,26.5,85,Completado,Monterrey,Linares
V102,Ford Lightning,Camioneta,2023-02-02,400.0,185.0,990,Completado,CDMX,Acapulco
V110,Mini Cooper,Otro,2023-02-03,40.0,8.2,80,Completado,CDMX,Naucalpan
V106,BMW i4,Sedan,2023-02-05,240.0,43.0,85,Completado,San Luis Potosi,Aguascalientes
V103,Rivian R1S,SUV,2023-02-07,390.0,112.0,260,Completado,Guadalajara,Manzanillo
V105,Cybertruck,Camioneta,2023-02-10,0,0,1100,Desconocido,Tijuana,San Diego
V101,Tesla Model 3,Sedan,2023-02-12,325.0,57.5,90,Completado,Monterrey,Laredo
V108,Kia EV6,SUV,2023-02-14,270.0,61.0,120,Completado,Cancun,Tulum
V107,Chevy Bolt,Otro,2023-02-15,85.0,16.0,100,Completado,Puebla,Atlixco
V102,Ford Lightning,Camioneta,2023-02-18,220.0,105.0,930,Completado,CDMX,Puebla
V109,Audi e-tron,SUV,2023-02-20,310.0,92.0,190,Completado,Leon,Morelia
V101,Tesla Model 3,Sedan,2023-02-22,50.0,10.5,85,Incidente,Monterrey,Santiago
V104,Nissan Leaf,Otro,2023-02-25,55.0,11.5,75,Completado,Queretaro,Bernal
V106,BMW i4,Sedan,2023-02-27,260.0,47.0,85,Completado,San Luis Potosi,Matehuala
V103,Rivian R1S,SUV,2023-03-01,100.0,32.0,180,Completado,Guadalajara,Chapala
V105,Cybertruck,Camioneta,2023-03-03,550.0,240.0,1380,Completado,Tijuana,Las Vegas
V110,Mini Cooper,Otro,2023-03-05,35.0,7.8,80,Completado,CDMX,Coyoacan
V101,Tesla Model 3,Sedan,2023-03-08,330.0,58.0,85,Completado,Monterrey,Brownsville
